id,boe,puesto_antes,puesto_despues,plazas_antes,plazas_despues,tipo,duplicacion,clave_correspondencia
45399,BOE-A-2022-17860,0903,ABOGADO / ABOGADA DEL ESTADO.,1,1,,,BOE-A-2022-17860:tabla=0:fila=3:codigo/plazas=0903/1
48952,BOE-A-2022-21597,1502,JEFE/JEFA DE EQUIPO INSPECCIÓN,1,1,,,BOE-A-2022-21597:tabla=0:fila=2:codigo/plazas=1502/1
99840,BOE-A-2025-18984,0903,ABOGADO / ABOGADA DEL ESTADO,1,1,,,BOE-A-2025-18984:tabla=0:fila=0:codigo/plazas=0903/1
100776,BOE-A-2025-22543,50370641,OFICINA DE JUSTICIA DE ADRA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=1:codigo/plazas=50370641/1
100777,BOE-A-2025-22543,50370636,OFICINA DE JUSTICIA DE ALBOX.,1,1,,,BOE-A-2025-22543:tabla=0:fila=2:codigo/plazas=50370636/1
100778,BOE-A-2025-22543,50370871,OFICINA GENERAL DEL REGISTRO CIVIL DE BERJA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=3:codigo/plazas=50370871/1
100779,BOE-A-2025-22543,50370646,OFICINA DE JUSTICIA DE CUEVAS DE ALMANZORA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=4:codigo/plazas=50370646/1
100780,BOE-A-2025-22543,50370875,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=5:codigo/plazas=50370875/1
100781,BOE-A-2025-22543,50370876,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=6:codigo/plazas=50370876/1
100782,BOE-A-2025-22543,50370877,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=7:codigo/plazas=50370877/1
100783,BOE-A-2025-22543,50370878,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=8:codigo/plazas=50370878/1
100784,BOE-A-2025-22543,50370903,SERVICIO COMÚN GENERAL.,1,1,,,BOE-A-2025-22543:tabla=0:fila=9:codigo/plazas=50370903/1
100785,BOE-A-2025-22543,50370917,SERVICIO COMÚN DE EJECUCIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=10:codigo/plazas=50370917/1
100786,BOE-A-2025-22543,50370918,SERVICIO COMÚN DE EJECUCIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=11:codigo/plazas=50370918/1
100787,BOE-A-2025-22543,50370928,OFICINA GENERAL DEL REGISTRO CIVIL DE EL EJIDO.,1,1,,,BOE-A-2025-22543:tabla=0:fila=12:codigo/plazas=50370928/1
100788,BOE-A-2025-22543,50370649,OFICINA DE JUSTICIA DE GARRUCHA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=13:codigo/plazas=50370649/1
100789,BOE-A-2025-22543,50370934,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=14:codigo/plazas=50370934/1
100790,BOE-A-2025-22543,50370935,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=15:codigo/plazas=50370935/1
