id,boe,puesto_antes,puesto_despues,puesto_normalizado_antes,puesto_normalizado_despues,plazas_antes,plazas_despues,campos_adicionales_modificados,clave_correspondencia,evidencia,candidatos_clave,confianza
101156,BOE-A-2025-22543,50372144,SERVICIO COMÚN DE TRAMITACIÓN.,50372144,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=189:codigo/plazas=50372144/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101157,BOE-A-2025-22543,50372145,SERVICIO COMÚN DE TRAMITACIÓN.,50372145,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=190:codigo/plazas=50372145/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101158,BOE-A-2025-22543,50372223,SERVICIO COMÚN DE TRAMITACIÓN.,50372223,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=191:codigo/plazas=50372223/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101159,BOE-A-2025-22543,50372226,SERVICIO COMÚN DE TRAMITACIÓN.,50372226,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=192:codigo/plazas=50372226/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101160,BOE-A-2025-22543,50372227,SERVICIO COMÚN DE TRAMITACIÓN.,50372227,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=193:codigo/plazas=50372227/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101161,BOE-A-2025-22543,50372178,SERVICIO COMÚN DE TRAMITACIÓN.,50372178,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=194:codigo/plazas=50372178/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101162,BOE-A-2025-22543,50372179,SERVICIO COMÚN DE TRAMITACIÓN.,50372179,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=195:codigo/plazas=50372179/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101163,BOE-A-2025-22543,50372180,SERVICIO COMÚN DE TRAMITACIÓN.,50372180,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=196:codigo/plazas=50372180/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101164,BOE-A-2025-22543,50372181,SERVICIO COMÚN DE TRAMITACIÓN.,50372181,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=197:codigo/plazas=50372181/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101165,BOE-A-2025-22543,50372182,SERVICIO COMÚN DE TRAMITACIÓN.,50372182,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=198:codigo/plazas=50372182/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101166,BOE-A-2025-22543,50372196,SERVICIO COMÚN DE TRAMITACIÓN.,50372196,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=199:codigo/plazas=50372196/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101167,BOE-A-2025-22543,50372197,SERVICIO COMÚN DE TRAMITACIÓN.,50372197,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=200:codigo/plazas=50372197/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101168,BOE-A-2025-22543,50372204,SERVICIO COMÚN GENERAL.,50372204,SERVICIO COMÚN GENERAL.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=201:codigo/plazas=50372204/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101169,BOE-A-2025-22543,50372215,OFICINA GENERAL DEL REGISTRO CIVIL DE VÉLEZ-MÁLAGA.,50372215,OFICINA GENERAL DEL REGISTRO CIVIL DE VÉLEZ-MÁLAGA.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=202:codigo/plazas=50372215/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101170,BOE-A-2025-22543,50372216,OFICINA GENERAL DEL REGISTRO CIVIL DE VÉLEZ-MÁLAGA.,50372216,OFICINA GENERAL DEL REGISTRO CIVIL DE VÉLEZ-MÁLAGA.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=203:codigo/plazas=50372216/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101171,BOE-A-2025-22543,50372260,SERVICIO COMÚN DE TRAMITACIÓN.,50372260,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=204:codigo/plazas=50372260/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
