id,puesto_persistido,puesto_normalizado,plazas_persistidas,fecha_boe,boe,fuente_oficial,clasificacion,puesto_correcto_si_determinable,plazas_correctas_si_determinables,registro_espurio,causa
42696,0902,0902,2,2022-07-12,BOE-A-2022-11535,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-11535,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,2,NO,CELDA_DESALINEADA
42697,0902,0902,1,2022-07-12,BOE-A-2022-11535,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-11535,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
42726,0011 0012 0013,0011 0012 0013,1,2022-07-14,BOE-A-2022-11655,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-11655,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
45399,0903,0903,1,2022-11-01,BOE-A-2022-17860,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-17860,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
48952,1502,1502,1,2022-12-20,BOE-A-2022-21597,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-21597,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
99840,0903,0903,1,2025-09-25,BOE-A-2025-18984,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-18984,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
100776,50370641,50370641,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100777,50370636,50370636,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100778,50370871,50370871,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100779,50370646,50370646,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100780,50370875,50370875,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100781,50370876,50370876,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100782,50370877,50370877,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
