Alias;Provincia;Municipio_oficial;Codigo_INE;Fuente;Confianza
Ferrerira;Granada;Ferreira;18074;https://www.ine.es/#v5-2-alias-municipal;ALTA
Galdanes;Bizkaia;Galdames;48037;https://www.ine.es/#v5-2-alias-municipal;ALTA
Garvín de la Jara;Cáceres;Garvín;10083;https://www.ine.es/#v5-2-alias-municipal;ALTA
Gijón/Xixón;Asturias;Gijón;33024;https://www.ine.es/#v5-2-alias-municipal;ALTA
Granada de Riotinto;Huelva;Granada de Río-Tinto, La;21036;https://www.ine.es/#v5-2-alias-municipal;ALTA
Guardamar de Segura;Alicante/Alacant;Guardamar del Segura;03076;https://www.ine.es/#v5-2-alias-municipal;ALTA
Higueras de Vargas;Badajoz;Higuera de Vargas;06066;https://www.ine.es/#v5-2-alias-municipal;ALTA
Huétor Santillán;Granada;Huétor de Santillán;18099;https://www.ine.es/#v5-2-alias-municipal;ALTA
Iglesuela;Toledo;Iglesuela del Tiétar, La;45079;https://www.ine.es/#v5-2-alias-municipal;ALTA
Jalón;Alicante/Alacant;Xaló;03081;https://www.ine.es/#v5-2-alias-municipal;ALTA
Laracha;A Coruña;Laracha, A;15041;https://www.ine.es/#v5-2-alias-municipal;ALTA
Les Avellanes;Lleida;Avellanes i Santa Linya, Les;25037;https://www.ine.es/#v5-2-alias-municipal;ALTA
Les Llosses;Girona;Llosses, Les;17096;https://www.ine.es/#v5-2-alias-municipal;ALTA
Les Oluges;Lleida;Oluges, Les;25152;https://www.ine.es/#v5-2-alias-municipal;ALTA
Les Planes d'Hostoles;Girona;Planes d'Hostoles, Les;17133;https://www.ine.es/#v5-2-alias-municipal;ALTA
Les Preses;Girona;Preses, Les;17139;https://www.ine.es/#v5-2-alias-municipal;ALTA
Les Valls de Valira;Lleida;Valls de Valira, Les;25239;https://www.ine.es/#v5-2-alias-municipal;ALTA
Llanera del Ranes;Valencia/València;Llanera de Ranes;46154;https://www.ine.es/#v5-2-alias-municipal;ALTA
Massamassa;Valencia/València;Massanassa;46165;https://www.ine.es/#v5-2-alias-municipal;ALTA
Monserrat;Valencia/València;Montserrat;46172;https://www.ine.es/#v5-2-alias-municipal;ALTA
Moraleja de las Panderas;Valladolid;Moraleja de las Panaderas;47095;https://www.ine.es/#v5-2-alias-municipal;ALTA
Muro de l'Alcoi;Alicante/Alacant;Muro de Alcoy;03092;https://www.ine.es/#v5-2-alias-municipal;ALTA
Náguera;Valencia/València;Nàquera/Náquera;46178;https://www.ine.es/#v5-2-alias-municipal;ALTA
Oropesa de Mar;Castellón/Castelló;Orpesa/Oropesa del Mar;12085;https://www.ine.es/#v5-2-alias-municipal;ALTA
Palau-solità y Plegamans;Barcelona;Palau-solità i Plegamans;08156;https://www.ine.es/#v5-2-alias-municipal;ALTA
Paracuellos del Jarama;Madrid;Paracuellos de Jarama;28104;https://www.ine.es/#v5-2-alias-municipal;ALTA
Paterna de la Rivera;Cádiz;Paterna de Rivera;11025;https://www.ine.es/#v5-2-alias-municipal;ALTA
Pereiro de Aguiar;Ourense;Pereiro de Aguiar, O;32058;https://www.ine.es/#v5-2-alias-municipal;ALTA
Pobra do Caramiñal;A Coruña;Pobra do Caramiñal, A;15067;https://www.ine.es/#v5-2-alias-municipal;ALTA
Porriño;Pontevedra;Porriño, O;36039;https://www.ine.es/#v5-2-alias-municipal;ALTA
Puerto de Serrano;Cádiz;Puerto Serrano;11029;https://www.ine.es/#v5-2-alias-municipal;ALTA
Puzol;Valencia/València;Puçol;46205;https://www.ine.es/#v5-2-alias-municipal;ALTA
Ribera de l'Urgellet;Lleida;Ribera d'Urgellet;25185;https://www.ine.es/#v5-2-alias-municipal;ALTA
Rivadedeva;Asturias;Ribadedeva;33055;https://www.ine.es/#v5-2-alias-municipal;ALTA
Riveira;A Coruña;Ribeira;15073;https://www.ine.es/#v5-2-alias-municipal;ALTA
Rótava;Valencia/València;Ròtova;46218;https://www.ine.es/#v5-2-alias-municipal;ALTA
San Agustín de Guadalix;Madrid;San Agustín del Guadalix;28129;https://www.ine.es/#v5-2-alias-municipal;ALTA
San Pedro de Palmiches;Cuenca;San Pedro Palmiches;16193;https://www.ine.es/#v5-2-alias-municipal;ALTA
San Pedro de Pinatar;Murcia;San Pedro del Pinatar;30036;https://www.ine.es/#v5-2-alias-municipal;ALTA
San Sebastián de los Basllesteros;Córdoba;San Sebastián de los Ballesteros;14059;https://www.ine.es/#v5-2-alias-municipal;ALTA
